Merged Data for Selected Target Ranges

Target Range: 108.57 nm
Trial 49 - Forward: Error: -46.86 nm, Time: 0.31 sec
Trial 49 - Backward: Error: 32.80 nm, Time: 0.61 sec
Trial 50 - Forward: Error: -27.31 nm, Time: 0.32 sec
Trial 50 - Backward: Error: -75.13 nm, Time: 0.32 sec
Trial 51 - Forward: Error: -16.89 nm, Time: 0.33 sec
Trial 51 - Backward: Error: -78.55 nm, Time: 0.29 sec
Trial 52 - Forward: Error: -15.27 nm, Time: 0.30 sec
Trial 52 - Backward: Error: -9.67 nm, Time: 0.33 sec
Trial 53 - Forward: Error: 48.22 nm, Time: 0.41 sec
Trial 53 - Backward: Error: -46.11 nm, Time: 0.53 sec
Trial 54 - Forward: Error: -21.62 nm, Time: 0.30 sec
Trial 54 - Backward: Error: -29.78 nm, Time: 0.32 sec
Trial 55 - Forward: Error: 41.93 nm, Time: 0.31 sec
Trial 55 - Backward: Error: -43.52 nm, Time: 0.29 sec
Trial 56 - Forward: Error: 71.90 nm, Time: 0.32 sec
Trial 56 - Backward: Error: -239.95 nm, Time: 0.38 sec
Trial 57 - Forward: Error: 37.15 nm, Time: 0.51 sec
Trial 57 - Backward: Error: -76.40 nm, Time: 0.40 sec
Trial 58 - Forward: Error: 8.95 nm, Time: 0.54 sec
Trial 58 - Backward: Error: -53.77 nm, Time: 0.63 sec
Trial 59 - Forward: Error: 37.62 nm, Time: 0.32 sec
Trial 59 - Backward: Error: -2.20 nm, Time: 0.59 sec
Trial 60 - Forward: Error: 39.48 nm, Time: 0.37 sec
Trial 60 - Backward: Error: 9.95 nm, Time: 0.27 sec
Trial 61 - Forward: Error: -24.63 nm, Time: 0.53 sec
Trial 61 - Backward: Error: -69.29 nm, Time: 0.28 sec
Trial 62 - Forward: Error: 62.94 nm, Time: 0.29 sec
Trial 62 - Backward: Error: -16.11 nm, Time: 0.50 sec
Trial 63 - Forward: Error: 35.11 nm, Time: 0.43 sec
Trial 63 - Backward: Error: -55.51 nm, Time: 0.38 sec
Trial 64 - Forward: Error: 51.59 nm, Time: 0.53 sec
Trial 64 - Backward: Error: 55.80 nm, Time: 0.32 sec
Trial 65 - Forward: Error: 51.03 nm, Time: 0.32 sec
Trial 65 - Backward: Error: 19.68 nm, Time: 0.30 sec
Trial 66 - Forward: Error: -29.80 nm, Time: 0.30 sec
Trial 66 - Backward: Error: -2.48 nm, Time: 0.31 sec
Trial 67 - Forward: Error: -41.10 nm, Time: 0.39 sec
Trial 67 - Backward: Error: -58.80 nm, Time: 0.22 sec
Trial 68 - Forward: Error: -33.82 nm, Time: 0.33 sec
Trial 68 - Backward: Error: 19.34 nm, Time: 0.32 sec
Trial 69 - Forward: Error: 78.90 nm, Time: 0.34 sec
Trial 69 - Backward: Error: -12.53 nm, Time: 0.29 sec
Trial 70 - Forward: Error: -19.29 nm, Time: 0.30 sec
Trial 70 - Backward: Error: 47.14 nm, Time: 0.29 sec
Trial 71 - Forward: Error: -24.38 nm, Time: 0.44 sec
Trial 71 - Backward: Error: 40.87 nm, Time: 0.20 sec
Trial 72 - Forward: Error: 21.44 nm, Time: 0.32 sec
Trial 72 - Backward: Error: 2.17 nm, Time: 0.34 sec
Trial 73 - Forward: Error: -69.32 nm, Time: 0.29 sec
Trial 73 - Backward: Error: -58.54 nm, Time: 0.31 sec
Trial 74 - Forward: Error: 10.34 nm, Time: 0.30 sec
Trial 74 - Backward: Error: -57.28 nm, Time: 0.30 sec
Trial 75 - Forward: Error: 10.08 nm, Time: 0.37 sec
Trial 75 - Backward: Error: -11.74 nm, Time: 0.55 sec
Trial 76 - Forward: Error: 58.08 nm, Time: 0.41 sec
Trial 76 - Backward: Error: -13.66 nm, Time: 0.55 sec
Trial 77 - Forward: Error: 58.03 nm, Time: 0.34 sec
Trial 77 - Backward: Error: -41.56 nm, Time: 0.26 sec
Trial 78 - Forward: Error: 24.66 nm, Time: 0.32 sec
Trial 78 - Backward: Error: -32.58 nm, Time: 0.31 sec
Trial 79 - Forward: Error: 66.86 nm, Time: 0.31 sec
Trial 79 - Backward: Error: -86.45 nm, Time: 0.30 sec
Trial 80 - Forward: Error: 27.28 nm, Time: 0.32 sec
Trial 80 - Backward: Error: 12.92 nm, Time: 0.32 sec
Trial 81 - Forward: Error: -11.68 nm, Time: 0.39 sec
Trial 81 - Backward: Error: -59.56 nm, Time: 0.23 sec
Trial 82 - Forward: Error: 72.32 nm, Time: 0.32 sec
Trial 82 - Backward: Error: 67.53 nm, Time: 0.30 sec
Trial 83 - Forward: Error: -24.77 nm, Time: 0.32 sec
Trial 83 - Backward: Error: -27.56 nm, Time: 0.29 sec
Trial 84 - Forward: Error: 27.95 nm, Time: 0.31 sec
Trial 84 - Backward: Error: -30.43 nm, Time: 0.31 sec
Trial 85 - Forward: Error: 42.12 nm, Time: 0.34 sec
Trial 85 - Backward: Error: -58.42 nm, Time: 0.26 sec
Trial 86 - Forward: Error: 68.80 nm, Time: 0.30 sec
Trial 86 - Backward: Error: -53.72 nm, Time: 0.45 sec
Trial 87 - Forward: Error: 25.72 nm, Time: 0.50 sec
Trial 87 - Backward: Error: 48.42 nm, Time: 0.30 sec
Trial 88 - Forward: Error: 52.63 nm, Time: 0.32 sec
Trial 88 - Backward: Error: -58.14 nm, Time: 0.30 sec
